          GAMMA Circulations
-------------------------------------------------------
TIME STEP =        0
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.5222032     0.1113037     0.1113037     0.5222032
  2     0.1113037     0.1546730    -0.0000000     0.6335070
  3    -0.0000000     0.1546730    -0.1113037     0.6335070
  4    -0.1113037     0.1113037    -0.5222032     0.5222032
  5     0.6335070    -0.0000000     0.1546730     0.1113037
  6     0.1546730     0.0000000     0.0000000     0.1546730
  7     0.0000000    -0.0000000    -0.1546730     0.1546730
  8    -0.1546730     0.0000000    -0.6335070     0.1113037
  9     0.6335070    -0.1113037     0.1546730    -0.0000000
 10     0.1546730    -0.1546730     0.0000000     0.0000000
 11     0.0000000    -0.1546730    -0.1546730    -0.0000000
 12    -0.1546730    -0.1113037    -0.6335070     0.0000000
 13     0.5222032    -0.5222032     0.1113037    -0.1113037
 14     0.1113037    -0.6335070     0.0000000    -0.1546730
 15     0.0000000    -0.6335070    -0.1113037    -0.1546730
 16    -0.1113037    -0.5222032    -0.5222032    -0.1113037
TIME STEP =        1
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.5625339     0.1053095     0.1509084     0.0403306
  2     0.1509084     0.1401818     0.0315263     0.0799353
  3     0.0315263     0.1537263    -0.0419940     0.1114616
  4    -0.0419940     0.1412259    -0.1807714     0.1807714
  5     0.6678434     0.0000000     0.1857806     0.1053095
  6     0.1857806     0.0000000     0.0450709     0.1401818
  7     0.0450709     0.0000000    -0.0544945     0.1537263
  8    -0.0544945    -0.0000000    -0.2106935     0.1412259
  9     0.6678434    -0.1053095     0.1857806     0.0000000
 10     0.1857806    -0.1401818     0.0450709     0.0000000
 11     0.0450709    -0.1537263    -0.0544945     0.0000000
 12    -0.0544945    -0.1412259    -0.2106935    -0.0000000
 13     0.5625339    -0.0403306     0.1509084    -0.1053095
 14     0.1509084    -0.0799353     0.0315263    -0.1401818
 15     0.0315263    -0.1114616    -0.0419940    -0.1537263
 16    -0.0419940    -0.1807714    -0.1807714    -0.1412259
TIME STEP =        2
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.5945371     0.1068405     0.2133814     0.0320033
  2     0.2133814     0.1110375     0.0828526     0.0944763
  3     0.0828526     0.1058451    -0.0197335     0.1458026
  4    -0.0197335     0.1082669    -0.1680631     0.1680631
  5     0.7013776    -0.0000000     0.2175784     0.1068405
  6     0.2175784     0.0000000     0.0776603     0.1110375
  7     0.0776603     0.0000000    -0.0173117     0.1058451
  8    -0.0173117     0.0000000    -0.1351041     0.1082669
  9     0.7013776    -0.1068405     0.2175784    -0.0000000
 10     0.2175784    -0.1110375     0.0776603     0.0000000
 11     0.0776603    -0.1058451    -0.0173117     0.0000000
 12    -0.0173117    -0.1082669    -0.1351041     0.0000000
 13     0.5945371    -0.0320033     0.2133814    -0.1068405
 14     0.2133814    -0.0944763     0.0828526    -0.1110375
 15     0.0828526    -0.1458026    -0.0197335    -0.1058451
 16    -0.0197335    -0.1680631    -0.1680631    -0.1082669
TIME STEP =        3
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6130396     0.1099871     0.2391256     0.0185024
  2     0.2391256     0.1097581     0.1349066     0.0442466
  3     0.1349066     0.0809974     0.0266307     0.0963007
  4     0.0266307     0.0678170    -0.1426648     0.1426648
  5     0.7230266     0.0000000     0.2388966     0.1099871
  6     0.2388966     0.0000000     0.1061460     0.1097581
  7     0.1061460     0.0000000     0.0134503     0.0809974
  8     0.0134503     0.0000000    -0.1022150     0.0678170
  9     0.7230266    -0.1099871     0.2388966     0.0000000
 10     0.2388966    -0.1097581     0.1061460     0.0000000
 11     0.1061460    -0.0809974     0.0134503     0.0000000
 12     0.0134503    -0.0678170    -0.1022150     0.0000000
 13     0.6130396    -0.0185024     0.2391256    -0.1099871
 14     0.2391256    -0.0442466     0.1349066    -0.1097581
 15     0.1349066    -0.0963007     0.0266307    -0.0809974
 16     0.0266307    -0.1426648    -0.1426648    -0.0678170
TIME STEP =        4
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6255440     0.1122569     0.2546906     0.0125045
  2     0.2546906     0.1103297     0.1577967     0.0280694
  3     0.1577967     0.0778179     0.0691167     0.0509595
  4     0.0691167     0.0485187    -0.0934455     0.0934455
  5     0.7378010     0.0000000     0.2527633     0.1122569
  6     0.2527633     0.0000000     0.1252850     0.1103297
  7     0.1252850    -0.0000000     0.0398174     0.0778179
  8     0.0398174     0.0000000    -0.0741471     0.0485187
  9     0.7378010    -0.1122569     0.2527633     0.0000000
 10     0.2527633    -0.1103297     0.1252850     0.0000000
 11     0.1252850    -0.0778179     0.0398174    -0.0000000
 12     0.0398174    -0.0485187    -0.0741471     0.0000000
 13     0.6255440    -0.0125045     0.2546906    -0.1122569
 14     0.2546906    -0.0280694     0.1577967    -0.1103297
 15     0.1577967    -0.0509595     0.0691167    -0.0778179
 16     0.0691167    -0.0934455    -0.0934455    -0.0485187
TIME STEP =        5
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6344433     0.1139000     0.2651676     0.0088992
  2     0.2651676     0.1110057     0.1726177     0.0193762
  3     0.1726177     0.0764332     0.0895914     0.0341972
  4     0.0895914     0.0445669    -0.0546719     0.0546719
  5     0.7483433    -0.0000000     0.2622732     0.1139000
  6     0.2622732     0.0000000     0.1380452     0.1110057
  7     0.1380452     0.0000000     0.0577252     0.0764332
  8     0.0577252     0.0000000    -0.0507202     0.0445669
  9     0.7483433    -0.1139000     0.2622732    -0.0000000
 10     0.2622732    -0.1110057     0.1380452     0.0000000
 11     0.1380452    -0.0764332     0.0577252     0.0000000
 12     0.0577252    -0.0445669    -0.0507202     0.0000000
 13     0.6344433    -0.0088992     0.2651676    -0.1139000
 14     0.2651676    -0.0193762     0.1726177    -0.1110057
 15     0.1726177    -0.0341972     0.0895914    -0.0764332
 16     0.0895914    -0.0546719    -0.0546719    -0.0445669
TIME STEP =        6
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6409322     0.1150829     0.2725153     0.0064890
