===================== LIFTING SURFACE DATA =====================
****************************************************************
Nº Col.      Nº Rows      Nº Panels      Nº Nodes
   4            4           16              25
----------------------------------------------------------------
                     NODES COORDINATES
----------------------------------------------------------------
Node Nº      Coord X       Coord Y       Coord Z
   1        1.9318517    -2.0000000    -0.5176381
   2        0.9659258    -2.0000000    -0.2588190
   3        0.0000000    -2.0000000    -0.0000000
   4       -0.9659258    -2.0000000     0.2588190
   5       -1.9318517    -2.0000000     0.5176381
   6        1.9318517    -1.0000000    -0.5176381
   7        0.9659258    -1.0000000    -0.2588190
   8        0.0000000    -1.0000000    -0.0000000
   9       -0.9659258    -1.0000000     0.2588190
  10       -1.9318517    -1.0000000     0.5176381
  11        1.9318517     0.0000000    -0.5176381
  12        0.9659258     0.0000000    -0.2588190
  13        0.0000000     0.0000000    -0.0000000
  14       -0.9659258     0.0000000     0.2588190
  15       -1.9318517     0.0000000     0.5176381
  16        1.9318517     1.0000000    -0.5176381
  17        0.9659258     1.0000000    -0.2588190
  18        0.0000000     1.0000000    -0.0000000
  19       -0.9659258     1.0000000     0.2588190
  20       -1.9318517     1.0000000     0.5176381
  21        1.9318517     2.0000000    -0.5176381
  22        0.9659258     2.0000000    -0.2588190
  23        0.0000000     2.0000000    -0.0000000
  24       -0.9659258     2.0000000     0.2588190
  25       -1.9318517     2.0000000     0.5176381
----------------------------------------------------------------
                    CONNECTIVITIES ARRAY
----------------------------------------------------------------
Panel Nº     Nod I     Nod II     Nod III     Nod IV
   1           1         6          7           2
   2           2         7          8           3
   3           3         8          9           4
   4           4         9         10           5
   5           6        11         12           7
   6           7        12         13           8
   7           8        13         14           9
   8           9        14         15          10
   9          11        16         17          12
  10          12        17         18          13
  11          13        18         19          14
  12          14        19         20          15
  13          16        21         22          17
  14          17        22         23          18
  15          18        23         24          19
  16          19        24         25          20
----------------------------------------------------------------
                      VECTOR NORMALLS 
----------------------------------------------------------------
Panel Nº     Coord X       Coord Y       Coord Z
   1       -0.2588190     0.0000000    -0.9659258
   2       -0.2588190     0.0000000    -0.9659258
   3       -0.2588190     0.0000000    -0.9659258
   4       -0.2588190     0.0000000    -0.9659258
   5       -0.2588190     0.0000000    -0.9659258
   6       -0.2588190     0.0000000    -0.9659258
   7       -0.2588190     0.0000000    -0.9659258
   8       -0.2588190     0.0000000    -0.9659258
   9       -0.2588190     0.0000000    -0.9659258
  10       -0.2588190     0.0000000    -0.9659258
  11       -0.2588190     0.0000000    -0.9659258
  12       -0.2588190     0.0000000    -0.9659258
  13       -0.2588190     0.0000000    -0.9659258
  14       -0.2588190     0.0000000    -0.9659258
  15       -0.2588190     0.0000000    -0.9659258
  16       -0.2588190     0.0000000    -0.9659258
----------------------------------------------------------------
                 CONTROL POINT COORDINATES 
----------------------------------------------------------------
Panel Nº     Coord X       Coord Y       Coord Z
   1        1.4488887    -1.5000000    -0.3882286
   2        0.4829629    -1.5000000    -0.1294095
   3       -0.4829629    -1.5000000     0.1294095
   4       -1.4488887    -1.5000000     0.3882286
   5        1.4488887    -0.5000000    -0.3882286
   6        0.4829629    -0.5000000    -0.1294095
   7       -0.4829629    -0.5000000     0.1294095
   8       -1.4488887    -0.5000000     0.3882286
   9        1.4488887     0.5000000    -0.3882286
  10        0.4829629     0.5000000    -0.1294095
  11       -0.4829629     0.5000000     0.1294095
  12       -1.4488887     0.5000000     0.3882286
  13        1.4488887     1.5000000    -0.3882286
  14        0.4829629     1.5000000    -0.1294095
  15       -0.4829629     1.5000000     0.1294095
  16       -1.4488887     1.5000000     0.3882286
----------------------------------------------------------------
