                      LOADS
-------------------------------------------------------
Time Step       CN             CL             CD
  0        -0.13954129    -0.13478653    -0.03611594
  1        -0.53269815    -0.51454690    -0.13787243
  2        -0.60234831    -0.58182379    -0.15589921
  3        -0.61569944    -0.59471999    -0.15935474
  4        -0.62249265    -0.60128173    -0.16111295
  5        -0.62872391    -0.60730066    -0.16272572
  6        -0.63499398    -0.61335708    -0.16434854
  7        -0.63994084    -0.61813539    -0.16562888
  8        -0.64376247    -0.62182680    -0.16661799
  9        -0.64674021    -0.62470307    -0.16738868
 10        -0.64907318    -0.62695655    -0.16799250
 11        -0.65091202    -0.62873273    -0.16846843
 12        -0.65237089    -0.63014189    -0.16884601
 13        -0.65353699    -0.63126826    -0.16914782
 14        -0.65447671    -0.63217596    -0.16939104
 15        -0.65524104    -0.63291424    -0.16958886
 16        -0.65586924    -0.63352103    -0.16975145
 17        -0.65638858    -0.63402268    -0.16988587
 18        -0.65681813    -0.63443760    -0.16999704
 19        -0.65717622    -0.63478348    -0.17008972
 20        -0.65747846    -0.63507543    -0.17016795
 21        -0.65773625    -0.63532443    -0.17023467
 22        -0.65795615    -0.63553684    -0.17029158
 23        -0.65814406    -0.63571834    -0.17034022
 24        -0.65830620    -0.63587496    -0.17038218
 25        -0.65844727    -0.63601122    -0.17041869
 26        -0.65857083    -0.63613057    -0.17045067
 27        -0.65867972    -0.63623575    -0.17047886
 28        -0.65877625    -0.63632900    -0.17050384
 29        -0.65886217    -0.63641198    -0.17052608
 30        -0.65893891    -0.63648611    -0.17054594
 31        -0.65900764    -0.63655250    -0.17056373
 32        -0.65906892    -0.63661169    -0.17057959
 33        -0.65912437    -0.63666526    -0.17059394
 34        -0.65917473    -0.63671389    -0.17060697
 35        -0.65922043    -0.63675804    -0.17061880
 36        -0.65926233    -0.63679851    -0.17062965
 37        -0.65930026    -0.63683515    -0.17063946
 38        -0.65933510    -0.63686880    -0.17064848
 39        -0.65936716    -0.63689977    -0.17065678
 40        -0.65939637    -0.63692798    -0.17066434
 41        -0.65942312    -0.63695382    -0.17067126
 42        -0.65944818    -0.63697802    -0.17067775
 43        -0.65947162    -0.63700067    -0.17068381
 44        -0.65949326    -0.63702157    -0.17068942
 45        -0.65951331    -0.63704093    -0.17069460
 46        -0.65953204    -0.63705903    -0.17069945
 47        -0.65954952    -0.63707592    -0.17070398
 48        -0.65956569    -0.63709153    -0.17070816
 49        -0.65958072    -0.63710605    -0.17071205
 50        -0.65959467    -0.63711953    -0.17071566
 51        -0.65960779    -0.63713220    -0.17071906
 52        -0.65962011    -0.63714410    -0.17072225
 53        -0.65963161    -0.63715521    -0.17072522
 54        -0.65964247    -0.63716570    -0.17072804
 55        -0.65965272    -0.63717560    -0.17073069
 56        -0.65966237    -0.63718492    -0.17073319
 57        -0.65967150    -0.63719373    -0.17073555
 58        -0.65968011    -0.63720205    -0.17073778
 59        -0.65968824    -0.63720991    -0.17073988
 60        -0.65969594    -0.63721734    -0.17074187
