===================== OMEGA VECTORS ===========================
****************************************************************
Panel Nº    Omega W     Coord X       Coord Y       Coord Z
   1           W1     0.0000000     1.0000000     0.0000000
   1           W2    -0.9659258     0.0000000     0.2588190
   1           W3     0.0000000    -1.0000000     0.0000000
   1           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
   2           W1     0.0000000     1.0000000     0.0000000
   2           W2    -0.9659258     0.0000000     0.2588190
   2           W3     0.0000000    -1.0000000     0.0000000
   2           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
   3           W1     0.0000000     1.0000000     0.0000000
   3           W2    -0.9659258     0.0000000     0.2588190
   3           W3     0.0000000    -1.0000000     0.0000000
   3           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
   4           W1     0.0000000     1.0000000     0.0000000
   4           W2    -0.9659258     0.0000000     0.2588190
   4           W3     0.0000000    -1.0000000     0.0000000
   4           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
   5           W1     0.0000000     1.0000000     0.0000000
   5           W2    -0.9659258     0.0000000     0.2588190
   5           W3     0.0000000    -1.0000000     0.0000000
   5           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
   6           W1     0.0000000     1.0000000     0.0000000
   6           W2    -0.9659258     0.0000000     0.2588190
   6           W3     0.0000000    -1.0000000     0.0000000
   6           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
   7           W1     0.0000000     1.0000000     0.0000000
   7           W2    -0.9659258     0.0000000     0.2588190
   7           W3     0.0000000    -1.0000000     0.0000000
   7           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
   8           W1     0.0000000     1.0000000     0.0000000
   8           W2    -0.9659258     0.0000000     0.2588190
   8           W3     0.0000000    -1.0000000     0.0000000
   8           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
   9           W1     0.0000000     1.0000000     0.0000000
   9           W2    -0.9659258     0.0000000     0.2588190
   9           W3     0.0000000    -1.0000000     0.0000000
   9           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
  10           W1     0.0000000     1.0000000     0.0000000
  10           W2    -0.9659258     0.0000000     0.2588190
  10           W3     0.0000000    -1.0000000     0.0000000
  10           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
  11           W1     0.0000000     1.0000000     0.0000000
  11           W2    -0.9659258     0.0000000     0.2588190
  11           W3     0.0000000    -1.0000000     0.0000000
  11           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
  12           W1     0.0000000     1.0000000     0.0000000
  12           W2    -0.9659258     0.0000000     0.2588190
  12           W3     0.0000000    -1.0000000     0.0000000
  12           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
  13           W1     0.0000000     1.0000000     0.0000000
  13           W2    -0.9659258     0.0000000     0.2588190
  13           W3     0.0000000    -1.0000000     0.0000000
  13           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
  14           W1     0.0000000     1.0000000     0.0000000
  14           W2    -0.9659258     0.0000000     0.2588190
  14           W3     0.0000000    -1.0000000     0.0000000
  14           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
  15           W1     0.0000000     1.0000000     0.0000000
  15           W2    -0.9659258     0.0000000     0.2588190
  15           W3     0.0000000    -1.0000000     0.0000000
  15           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
  16           W1     0.0000000     1.0000000     0.0000000
  16           W2    -0.9659258     0.0000000     0.2588190
  16           W3     0.0000000    -1.0000000     0.0000000
  16           W4     0.9659258     0.0000000    -0.2588190
----------------------------------------------------------------
