T I M E   S T E P   N U M B E R  ( it ):    0

N O R M A L   C O E F F I C I E N T  ( CN ) = -0.134786534551D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.361159430836D-01
D R A G   C O E F F I C I E N T  ( CD ) =
E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.522203D+00     0.111633D+01
    2         2         1       0.633507D+00     0.107511D+00
    3         3         1       0.633507D+00    -0.107511D+00
    4         4         1       0.522203D+00    -0.611921D+00

    5         1         2       0.633507D+00     0.137324D+01
    6         2         2       0.788180D+00     0.149403D+00
    7         3         2       0.788180D+00    -0.149403D+00
    8         4         2       0.633507D+00    -0.761323D+00

    9         1         3       0.633507D+00     0.137324D+01
   10         2         3       0.788180D+00     0.149403D+00
   11         3         3       0.788180D+00    -0.149403D+00
   12         4         3       0.633507D+00    -0.761323D+00

   13         1         4       0.522203D+00     0.111633D+01
   14         2         4       0.633507D+00     0.107511D+00
   15         3         4       0.633507D+00    -0.107511D+00
   16         4         4       0.522203D+00    -0.611921D+00

T I M E   S T E P   N U M B E R  ( it ):    1

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.532698152441D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.514546903059D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.137872427143D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.562534D+00     0.134418D+01
    2         2         1       0.713442D+00     0.321482D+00
    3         3         1       0.744969D+00     0.194204D+00
    4         4         1       0.702975D+00     0.126684D+00

    5         1         2       0.667843D+00     0.154758D+01
    6         2         2       0.853624D+00     0.354102D+00
    7         3         2       0.898695D+00     0.211002D+00
    8         4         2       0.844200D+00     0.162352D+00

    9         1         3       0.667843D+00     0.154758D+01
   10         2         3       0.853624D+00     0.354102D+00
   11         3         3       0.898695D+00     0.211002D+00
   12         4         3       0.844200D+00     0.162352D+00

   13         1         4       0.562534D+00     0.134418D+01
   14         2         4       0.713442D+00     0.321482D+00
   15         3         4       0.744969D+00     0.194204D+00
   16         4         4       0.702975D+00     0.126684D+00

T I M E   S T E P   N U M B E R  ( it ):    2

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.602348311253D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.581823790261D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.155899214738D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.594537D+00     0.146580D+01
    2         2         1       0.807919D+00     0.464125D+00
    3         3         1       0.890771D+00     0.324692D+00
    4         4         1       0.871038D+00     0.122074D+00

    5         1         2       0.701378D+00     0.165016D+01
    6         2         2       0.918956D+00     0.418115D+00
    7         3         2       0.996616D+00     0.253278D+00
    8         4         2       0.979305D+00     0.120535D+00

    9         1         3       0.701378D+00     0.165016D+01
   10         2         3       0.918956D+00     0.418115D+00
   11         3         3       0.996616D+00     0.253278D+00
   12         4         3       0.979305D+00     0.120535D+00

   13         1         4       0.594537D+00     0.146580D+01
   14         2         4       0.807919D+00     0.464125D+00
   15         3         4       0.890771D+00     0.324692D+00
   16         4         4       0.871038D+00     0.122074D+00

T I M E   S T E P   N U M B E R  ( it ):    3

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.615699440654D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.594719990960D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.159354741300D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.613040D+00     0.150861D+01
    2         2         1       0.852165D+00     0.448202D+00
    3         3         1       0.987072D+00     0.330720D+00
    4         4         1       0.101370D+01     0.144351D+00

    5         1         2       0.723027D+00     0.169464D+01
    6         2         2       0.961923D+00     0.423774D+00
    7         3         2       0.106807D+01     0.258797D+00
    8         4         2       0.108152D+01     0.116502D+00

    9         1         3       0.723027D+00     0.169464D+01
   10         2         3       0.961923D+00     0.423774D+00
   11         3         3       0.106807D+01     0.258797D+00
   12         4         3       0.108152D+01     0.116502D+00

   13         1         4       0.613040D+00     0.150861D+01
   14         2         4       0.852165D+00     0.448202D+00
   15         3         4       0.987072D+00     0.330720D+00
   16         4         4       0.101370D+01     0.144351D+00

T I M E   S T E P   N U M B E R  ( it ):    4

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.622492653318D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.601281730516D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.161112954115D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.625544D+00     0.154212D+01
    2         2         1       0.880235D+00     0.457242D+00
    3         3         1       0.103803D+01     0.311515D+00
    4         4         1       0.110715D+01     0.143158D+00

    5         1         2       0.737801D+00     0.172685D+01
    6         2         2       0.990564D+00     0.428708D+00
    7         3         2       0.111585D+01     0.256814D+00
    8         4         2       0.115567D+01     0.113530D+00

    9         1         3       0.737801D+00     0.172685D+01
   10         2         3       0.990564D+00     0.428708D+00
   11         3         3       0.111585D+01     0.256814D+00
   12         4         3       0.115567D+01     0.113530D+00

   13         1         4       0.625544D+00     0.154212D+01
   14         2         4       0.880235D+00     0.457242D+00
   15         3         4       0.103803D+01     0.311515D+00
   16         4         4       0.110715D+01     0.143158D+00

T I M E   S T E P   N U M B E R  ( it ):    5

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.628723909423D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.607300661718D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.162725721870D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.634443D+00     0.156676D+01
    2         2         1       0.899611D+00     0.467191D+00
    3         3         1       0.107223D+01     0.316078D+00
    4         4         1       0.116182D+01     0.129589D+00

    5         1         2       0.748343D+00     0.175088D+01
    6         2         2       0.101062D+01     0.434308D+00
    7         3         2       0.114866D+01     0.257653D+00
    8         4         2       0.120639D+01     0.107334D+00

    9         1         3       0.748343D+00     0.175088D+01
   10         2         3       0.101062D+01     0.434308D+00
   11         3         3       0.114866D+01     0.257653D+00
   12         4         3       0.120639D+01     0.107334D+00

   13         1         4       0.634443D+00     0.156676D+01
   14         2         4       0.899611D+00     0.467191D+00
   15         3         4       0.107223D+01     0.316078D+00
   16         4         4       0.116182D+01     0.129589D+00

T I M E   S T E P   N U M B E R  ( it ):    6

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.634993978977D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.613357083832D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.164348535285D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.640932D+00     0.158494D+01
    2         2         1       0.913448D+00     0.475050D+00
    3         3         1       0.109616D+01     0.321422D+00
    4         4         1       0.119944D+01     0.128630D+00

    5         1         2       0.756015D+00     0.176862D+01
    6         2         2       0.102498D+01     0.438806D+00
    7         3         2       0.117177D+01     0.259136D+00
    8         4         2       0.124144D+01     0.103344D+00

    9         1         3       0.756015D+00     0.176862D+01
   10         2         3       0.102498D+01     0.438806D+00
   11         3         3       0.117177D+01     0.259136D+00
   12         4         3       0.124144D+01     0.103344D+00

   13         1         4       0.640932D+00     0.158494D+01
   14         2         4       0.913448D+00     0.475050D+00
   15         3         4       0.109616D+01     0.321422D+00
   16         4         4       0.119944D+01     0.128630D+00

T I M E   S T E P   N U M B E R  ( it ):    7

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.639940843591D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.618135388122D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.165628878060D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.645736D+00     0.159849D+01
    2         2         1       0.923528D+00     0.480962D+00
    3         3         1       0.111327D+01     0.325728D+00
    4         4         1       0.122591D+01     0.128710D+00

    5         1         2       0.761676D+00     0.178183D+01
    6         2         2       0.103544D+01     0.442238D+00
    7         3         2       0.118834D+01     0.260501D+00
    8         4         2       0.126615D+01     0.101067D+00

    9         1         3       0.761676D+00     0.178183D+01
   10         2         3       0.103544D+01     0.442238D+00
   11         3         3       0.118834D+01     0.260501D+00
   12         4         3       0.126615D+01     0.101067D+00

   13         1         4       0.645736D+00     0.159849D+01
   14         2         4       0.923528D+00     0.480962D+00
   15         3         4       0.111327D+01     0.325728D+00
   16         4         4       0.122591D+01     0.128710D+00

T I M E   S T E P   N U M B E R  ( it ):    8

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.643762473228D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.621826798887D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.166617988594D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.649334D+00     0.160868D+01
    2         2         1       0.930978D+00     0.485400D+00
    3         3         1       0.112573D+01     0.329042D+00
    4         4         1       0.124483D+01     0.129017D+00

    5         1         2       0.765903D+00     0.179177D+01
    6         2         2       0.104314D+01     0.444848D+00
    7         3         2       0.120038D+01     0.261640D+00
    8         4         2       0.128385D+01     0.997016D-01

    9         1         3       0.765903D+00     0.179177D+01
   10         2         3       0.104314D+01     0.444848D+00
   11         3         3       0.120038D+01     0.261640D+00
   12         4         3       0.128385D+01     0.997016D-01

   13         1         4       0.649334D+00     0.160868D+01
   14         2         4       0.930978D+00     0.485400D+00
   15         3         4       0.112573D+01     0.329042D+00
   16         4         4       0.124483D+01     0.129017D+00

T I M E   S T E P   N U M B E R  ( it ):    9

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.646740208358D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.624703070153D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.167388683157D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.652058D+00     0.161643D+01
    2         2         1       0.936551D+00     0.488761D+00
    3         3         1       0.113493D+01     0.331590D+00
    4         4         1       0.125859D+01     0.129469D+00

    5         1         2       0.769094D+00     0.179933D+01
    6         2         2       0.104890D+01     0.446859D+00
    7         3         2       0.120926D+01     0.262590D+00
    8         4         2       0.129671D+01     0.988904D-01

    9         1         3       0.769094D+00     0.179933D+01
   10         2         3       0.104890D+01     0.446859D+00
   11         3         3       0.120926D+01     0.262590D+00
   12         4         3       0.129671D+01     0.988904D-01

   13         1         4       0.652058D+00     0.161643D+01
   14         2         4       0.936551D+00     0.488761D+00
   15         3         4       0.113493D+01     0.331590D+00
   16         4         4       0.125859D+01     0.129469D+00

T I M E   S T E P   N U M B E R  ( it ):   10

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.649073180191D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.626956547899D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.167992500699D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.654143D+00     0.162239D+01
    2         2         1       0.940769D+00     0.491337D+00
    3         3         1       0.114181D+01     0.333560D+00
    4         4         1       0.126876D+01     0.129924D+00

